No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bomogbuduga;9410042003;Widimeida;91.08.21.2005
2;Danggipa;9410042004;Widimeida;91.08.21.2005
3;Odegapa;9410042005;Pasir Putih;91.08.21.2002
4;Sogomo;9410042006;Pasir Putih;91.08.21.2002
5;Pasir Putih;9410071003;Pasir Putih;91.08.21.2002
6;Agapo _ Widimeida;9410071004;Widimeida;91.08.21.2005
7;Geida;9410071005;Geida;91.08.21.2004
8;Kenegi;9410071006;Pasir Putih;91.08.21.2002
9;Tegougipugaida;9410071007;Pasir Putih;91.08.21.2002
10;Iteuwo;9410071009;Pasir Putih;91.08.21.2002
11;Baguwo;9410071010;Pasir Putih;91.08.21.2002
12;Debamomaida;9410071014;Geida;91.08.21.2004
13;Makidimi;9410071015;Geida;91.08.21.2004
