No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Alemsom;9417022003;Alemsom;91.12.11.2002
2;Eraduman;9417022004;Eraduman;91.12.11.2001
3;Tapasik;9417022005;Tapasik;91.12.11.2003
4;Bakwalim Yub;9417022006;Bakwalin Yub;91.12.11.2006
5;Imiriyi;9417022007;Imiryi;91.12.11.2007
6;Suntamon;9417022008;Sumtamon;91.12.11.2008
7;Bondik;9417022009;Bondik;91.12.11.2009
8;Miruman;9417022010;Muruman;91.12.11.2010
9;Bunalkon;9417022011;Binalkom;91.12.11.2011
10;Timbal;9417022012;Tibal;91.12.11.2012
11;Payol Masumkon;9417022013;Payol Masumkon;91.12.11.2004
12;Tapok;9417022014;Tapob;91.12.11.2005
