No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Nioga;9411066001;Nioga;91.07.30.2001
2;Wonggi;9411066002;Wonggi;91.07.30.2003
3;Yonggi;9411066003;Yonggi;91.07.30.2002
4;Muruwi;9411066004;Muruwi;91.07.30.2006
5;Wambagalo;9411066005;Wambagalo;91.07.30.2004
6;Gibaga;9411066006;Gibaga;91.07.30.2008
7;Wutikme;9411066007;Wutime;91.07.30.2007
8;Wanduri;9411066008;Wanduri;91.07.30.2010
9;Jigonikme;9411066009;Jigonikme;91.07.30.2005
10;Papak;9411066010;Papak;91.07.30.2009
11;Walom;9411066011;Walom;91.07.30.2011
