No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Gubugani;9411061001;Gubugani;91.07.11.2001
2;Ambok;9411061004;Ambok;91.07.11.2003
3;Awiyam;9411061005;Awiyam;91.07.11.2004
4;Tubugime;9411061006;Tubugime;91.07.11.2005
5;Wariru;9411061007;Wariru;91.07.11.2006
6;Digi;9411061009;Digi;91.07.11.2007
7;Kikup;9411061010;Kikup;91.07.11.2008
8;Gunung Tayok;9411061011;Gunung Tayok;91.07.11.2009
9;Nambu;9411061012;Nambu;91.07.11.2011
10;Asua;9411061013;Asua;91.07.11.2012
11;Degei;9411061014;Degei;91.07.11.2013
12;Sigou;9411061015;Sigou;91.07.11.2014
13;Nalu;9411061016;Nalu;91.07.11.2015
