No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bunaluk;9411072001;Bunaluk;91.07.27.2016
2;Gereja Lama;9411072002;Gereja Lama;91.07.27.2017
3;Anggalo;9411072003;Anggalo;91.07.27.2013
4;Nanegeme;9411072004;Nenegame;91.07.27.2002
5;Ponggoname;9411072005;Ponggoname;91.07.27.2008
6;Yunggwi;9411072006;Yunggwi;91.07.27.2011
7;Pernaluk;9411072007;Pernaluk;91.07.27.2005
8;Bime;9411072008;Bime;91.07.27.2003
9;Wiyage;9411072009;Wiyage;91.07.27.2014
10;Anggege;9411072010;Anggege;91.07.27.2004
11;Nuwi;9411072011;Nuwi;91.07.27.2007
12;Piyabigimbut;9411072012;Piyabigimbut;91.07.27.2015
13;Kiburu;9411072013;Kiburu;91.07.27.2006
14;Wanwi;9411072014;Wonwi;91.07.27.2001
15;Gibume;9411072015;Gibume;91.07.27.2009
16;Naburage;9411072016;Naburage;91.07.27.2010
17;Anggagalo;9411072017;Anggagalo;91.07.27.2012
