No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Yulogoma;9433070003;Yulukoma;91.25.03.2001
2;Milawak;9433070004;Milawak;91.25.03.2002
3;Tinggilbet;9433070005;Tinggilbet;91.25.03.2007
4;Daungbet;9433070008;Dambet;91.25.03.2012
5;Denggibuma;9433070011;Dengkibuma;91.25.03.2010
6;Ogamki;9433070012;Ogamki;91.25.03.2009
7;Ondugi;9433070013;Ondugi;91.25.03.2013
8;Ambobera;9433070014;Ambobera;91.25.03.2014
9;Jambul;9433071006;Jambul;91.25.10.2002
10;Pupet;9433072007;---;---
11;Puluk;9433072008;Puluk;91.25.11.2001
