No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Wafor;9427030001;Wafor;91.19.03.2006
2;Sauyas;9427030002;Sauyas;91.19.03.2005
3;Sorendidori;9427030003;Sorendidori;91.19.03.2007
4;Waryesi;9427030004;Waryesi;91.19.03.2008
5;Wombonda;9427030005;Wombonda;91.19.03.2002
6;Yawerma;9427030006;Yawerma;91.19.03.2001
7;Marsram;9427030007;Marsram;91.19.03.2003
8;Duber;9427030008;Duber;91.19.03.2004
9;Douwbo;9427030009;Douwbo;91.19.03.2010
10;Syurdori;9427030010;Syurdori;91.19.03.2009
