No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Milipaa;9418126001;Milipaa;91.14.40.2002
2;Wania;9418126002;Wania;91.14.40.2001
3;Niagale;9418126003;Niagale;91.14.40.2004
4;Tarawi;9418126004;Tarawi;91.14.40.2003
5;Bumbu;9418126005;Bumbu;91.14.40.2005
6;Ambena;9418126006;Ambena;91.14.40.2006
7;Gunombo;9418126007;Gunombo;91.14.40.2007
8;Mawi;9418126008;Mawi;91.14.40.2008
9;Ripa;9418126009;Ripa;91.14.40.2009
10;Delegari;9418126010;Delegari;91.14.40.2010
