No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Timojino;9418024001;Timojimo;91.14.13.2003
2;Mondagul;9418024002;Mondagul;91.14.13.2001
3;Tabowanimbo;9418024005;Tabowanimbo;91.14.13.2005
4;Nelawi;9418024006;Nelawi;91.14.13.2006
5;Woromolome;9418024007;Woromolome;91.14.13.2007
6;Kendemeya;9418024008;Kendemaya;91.14.13.2008
7;Palagi;9418024009;Palagi;91.14.13.2009
8;Megapura;9418024010;Megapura;91.14.13.2010
9;Wabuna;9418024015;Wabuna;91.14.13.2011
10;Minagame;9418024016;Minagame;91.14.13.2012
11;Berename;9418024017;---;---
12;Yilogonime;9418024018;---;---
