No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Belep;9418051001;Belep;91.14.20.2003
2;Nunggawi;9418051002;Nunggawi;91.14.20.2001
3;Kokondao;9418051003;Kokondao;91.14.20.2002
4;Wondame;9418051004;Wondame;91.14.20.2006
5;Kuripa;9418051005;Kuripaga;91.14.20.2004
6;Kimobur;9418051006;Kimobur;91.14.20.2005
7;Timobur;9418051007;Kimobur;91.14.20.2005
8;Timobur;9418051007;Tomobur;91.14.20.2026
9;Kilungga;9418051008;Kilungga;91.14.20.2007
10;Nombori;9418051009;Nombori;91.14.20.2008
11;Delelah;9418051010;Delelah;91.14.20.2009
12;Gilo;9418051011;Gilo;91.14.20.2010
13;Undi;9418051012;Undi;91.14.20.2011
14;Derek;9418051013;Derek;91.14.20.2012
15;Numbe;9418051014;Numbe;91.14.20.2013
16;Kanggineri;9418051015;Kanggineri;91.14.20.2014
17;Wonoluk;9418051016;Wonoluk;91.14.20.2015
18;Berenggo;9418051017;Barenggo;91.14.20.2016
19;Tunibur;9418051018;Tunibur;91.14.20.2017
20;Woyi;9418051019;Woyi;91.14.20.2018
21;Kubalo;9418051020;Kubalo;91.14.20.2019
22;Tinowene;9418051021;Tinoweno;91.14.20.2020
23;Mololowa;9418051022;Mololowa;91.14.20.2021
24;Konipaga;9418051023;Kunipaga;91.14.20.2022
25;Kabomangen;9418051024;Kabumanggen;91.14.20.2023
26;Kondangwi;9418051025;Kondangwi;91.14.20.2024
27;Kipino;9418051026;Kipino;91.14.20.2025
