No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Wama;9418014001;Wama;91.14.34.2001
2;Kumbur;9418014002;Kumbur;91.14.34.2003
3;Kwarini;9418014003;Kwarini;91.14.34.2004
4;Weyage;9418014004;Weyage;91.14.34.2005
5;Wonitu;9418014006;Wonitu;91.14.34.2002
6;Golena;9418014007;Golena;91.14.34.2012
7;Korlo;9418014008;Korlo;91.14.34.2010
8;Gunalo;9418014009;Gunalo;91.14.34.2009
9;Timer;9418014010;Timer;91.14.34.2006
10;Nowo;9418014011;Nowo;91.14.34.2008
11;Gulak;9418014012;Gulak;91.14.34.2007
12;Towolome;9418014013;Towolome;91.14.34.2011
