No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Silakma;9416055001;Silakma;91.13.48.2001
2;Somarin;9416055002;Soamarin;91.13.48.2002
3;Monin;9416055003;Monin;91.13.48.2004
4;Enggelasue;9416055004;Enggelasue;91.13.48.2005
5;Oakbisik;9416055005;Oakbisik;91.13.48.2006
6;Husmo;9416055006;Husmo;91.13.48.2008
7;Karelma;9416055007;Karelma;91.13.48.2009
8;Kenkeni;9416055008;Kenkeni;91.13.48.2003
9;Momenggama;9416055009;Momenggama;91.13.48.2007
10;Usabini;9416055010;Usabini;91.13.48.2010
