No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Saly;9432010001;Saly;91.22.05.2003
2;Mabualem;9432010002;Mabualem;91.22.05.2004
3;Werenggik;9432010003;Werenggik;91.22.05.2002
4;Welarek;9432010004;Welarek;91.22.05.2001
5;Pisanggo;9432010005;Pisanggo;91.22.05.2005
6;Salema;9432010006;Salema;91.22.05.2038
7;Selebi;9432010007;Selebi;91.22.05.2039
8;Langam;9432010008;Langam;91.22.05.2040
9;Pami;9432010009;Pami;91.22.05.2041
10;Pirang;9432010010;Pirang;91.22.05.2042
11;Poholanggen;9432010011;Poholanggen;91.22.05.2043
12;Wangkulamsafiang;9432010012;---;---
13;Irarek;9432010013;Irarek;91.22.05.2045
14;Ambolonsili;9432010014;Ampolongsili;91.22.05.2046
15;Suntam;9432010015;Sumtan;91.22.05.2047
16;Ulum;9432010016;Ulum;91.22.05.2048
17;Kayo;9432010017;Kayo;91.22.05.2049
18;Panal;9432010018;Panal;91.22.05.2050
19;Hilariki;9432010019;Hilariki;91.22.05.2051
20;Tinmuhuk;9432010020;Tinmuhuk;91.22.05.2052
21;Helebol;9432010021;Helebol;91.22.05.2054
22;Silfal;9432010022;Silfal;91.22.05.2055
23;Sukalimi;9432010023;Sukalimi;91.22.05.2056
24;Nohonil;9432010024;Nohonil;91.22.05.2057
25;Lasik;9432010025;Lasik;91.22.05.2058
26;Panalulun;9432010026;Panalulun;91.22.05.2059
27;Wasupahik;9432010027;Wasupahik;91.22.05.2060
28;Folongsili;9432010028;Folongsili;91.22.05.2061
29;Amuluk;9432010029;Amuluk;91.22.05.2062
30;Yahamer;9432010030;Yahamer;91.22.05.2053
