No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Selensen;1403011001;Selensen;14.04.14.1001
2;Batu Ampar;1403011002;Batu Ampar;14.04.14.2002
3;Keritang;1403011003;Keritang;14.04.14.2003
4;Air Balui;1403011004;Air Balui;14.04.14.2004
5;Tuk Jimun;1403011005;Tuk Jimun;14.04.14.2005
6;Kemuning Muda;1403011006;Kemuning Muda;14.04.14.2007
7;Kemuning Tua;1403011007;Kemuning Tua;14.04.14.2006
8;Sekara;1403011008;Sekara;14.04.14.2010
9;Limau Manis;1403011009;Limau Manis;14.04.14.2008
10;Talang Jangkang;1403011010;Talang Jangkang;14.04.14.2011
11;Lubuk Besar;1403011011;Lubuk Besar;14.04.14.2009
12;Sekayan;1403011012;Sekayan;14.04.14.2012
