No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kota Baru;1402031001;Kota Baru;14.02.13.2006
2;Rimba Seminai;1402031002;Rimba Seminai;14.02.13.2007
3;Kuantan Tenang;1402031003;Kuantan Tenang;14.02.13.2005
4;Kelayang;1402031004;Kelayang;14.02.13.2008
5;Lubuk Sitarak;1402031005;Lubuk Sitarak;14.02.13.2014
6;Petonggan;1402031006;Petonggan;14.02.13.2013
7;Batu Sawar;1402031007;Batu Sawar;14.02.13.2012
8;Talang Sungai Parit;1402031008;Talang Sungai Parit;14.02.13.2011
9;Talang Selantai;1402031009;Talang Selantai;14.02.13.2003
10;Talang Perigi;1402031010;Talang Perigi;14.02.13.2004
11;Talang Gedabu;1402031011;Talang Gedabu;14.02.13.2009
12;Talang Sungai Limau;1402031012;Talang Sungai Limau;14.02.13.2010
13;Talang Durian Cacar;1402031013;Talang Durian Cacar;14.02.13.2002
14;Talang Tujuh Buah Tangga;1402031014;Talang 7 Buah Tangga;14.02.13.2001
15;Bukit Indah;1402031015;Bukit Indah;14.02.13.2015
16;Kampung Bunga;1402031016;Kampung Bunga;14.02.13.2018
17;Talang Pring Jaya;1402031017;Talang Pring Jaya;14.02.13.2019
18;Talang Sungai Ekok;1402031018;Sungai Ekok;14.02.13.2016
19;Talang Suka Maju;1402031019;Talang Suka Maju;14.02.13.2017
