No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Batu Belah;1406060001;Batu Belah;14.01.02.2001
2;Tanjung Berulak;1406060002;Tanjung Berulak;14.01.02.2003
3;Air Tiris;1406060003;Air Tiris;14.01.02.1027
4;Ranah;1406060004;Ranah;14.01.02.2006
5;Penyasawan;1406060005;Penyasawan;14.01.02.2007
6;Rumbio;1406060006;Rumbio;14.01.02.2008
7;Padang Mutung;1406060007;Padang Mutung;14.01.02.2013
8;Simpang Kubu;1406060025;Simpang Kubu;14.01.02.2025
9;Tanjung Rambutan;1406060026;Tanjung Rambutan;14.01.02.2024
10;Pulau Jambu;1406060028;Pulau Jambu;14.01.02.2023
11;Limau Manis;1406060029;Limau Manis;14.01.02.2028
12;Naumbai;1406060030;Naumbai;14.01.02.2030
13;Ranah Singkuang;1406060031;Ranah Singkuang;14.01.02.2036
14;Pulau Tinggi;1406060032;Pulau Tinggi;14.01.02.2031
15;Koto Tibun;1406060033;Koto Tibun;14.01.02.2035
16;Bukit Ranah;1406060034;Bukit Ranah;14.01.02.2033
17;Ranah Baru;1406060035;Ranah Baru;14.01.02.2032
18;Pulau Sarak;1406060036;Pulau Sarak;14.01.02.2034
