No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sikakak;1401060003;Sikakak;14.09.05.2004
2;Pulau Jambu;1401060004;Pulaujambu;14.09.05.2006
3;Pulau Bayur;1401060005;Pulaubayur;14.09.05.2008
4;Pulau Panjang Cerenti;1401060006;Pulau Panjang Cerenti;14.09.05.2009
5;Teluk Pauh;1401060007;Telukpauh;14.09.05.2011
6;Pesikaian;1401060008;Pesikaian;14.09.05.2010
7;Koto Cerenti;1401060009;Koto Cerenti;14.09.05.2007
8;Koto Peraku;1401060010;Koto Peraku;14.09.05.1002
9;Pasar Cerenti;1401060011;Pasar Cerenti;14.09.05.1001
10;Kampung Baru;1401060012;Kampung Baru;14.09.05.2005
11;Kompe Berangin;1401060013;Kompe Berangin;14.09.05.2003
12;Tanjung Medan;1401060014;Tanjungmedan;14.09.05.2012
13;Kampung Baru Timur;1401060015;Kampung Baru Timur;14.09.05.2013
