No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pulau Rumput;1401012001;Pulaurumput;14.09.07.2003
2;Koto Gunung;1401012002;Koto Gunung;14.09.07.2006
3;Teluk Beringin;1401012003;Telukberingin;14.09.07.2002
4;Pulau Mungkur;1401012004;Pulaumungkur;14.09.07.2001
5;Seberang Gunung;1401012005;Seberang Gunung;14.09.07.2004
6;Teberau Panjang;1401012006;Teberau Panjang;14.09.07.2005
7;Gunung;1401012007;Gunung;14.09.07.2007
8;Toar;1401012008;Toar;14.09.07.2008
9;Kampung Baru;1401012009;Kampung Baru;14.09.07.2010
10;Petapahan;1401012010;Petapahan;14.09.07.2009
11;Lubuk Terantang;1401012011;Lubuk Terentang;14.09.07.2012
12;Siberobah;1401012012;Siberobah;14.09.07.2013
13;Pisang Berebus;1401012013;Pisang Berebus;14.09.07.2011
14;Seberang Sungai;1401012014;Seberang Sungai;14.09.07.2014
