No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pembatang;1401051001;Pembatang;14.09.09.2010
2;Padang Kunik;1401051002;Padang Kunik;14.09.09.2009
3;Padang Tanggung;1401051003;Padang Tanggung;14.09.09.2008
4;Teluk Pauh;1401051004;Telukpauh;14.09.09.2006
5;Tanah Bekali;1401051005;Tanah Bekali;14.09.09.2007
6;Pulau Deras;1401051006;Pulauderas;14.09.09.2005
7;Pulau Kumpai;1401051007;Pulaukumpai;14.09.09.2003
8;Pulau Tengah;1401051008;Pulautongah;14.09.09.2004
9;Koto Pangean;1401051009;Koto Pangean;14.09.09.2002
10;Sukaping;1401051010;Sukaping;14.09.09.2012
11;Pulau Rengas;1401051011;Pulaurengas;14.09.09.2013
12;Pauh Angit;1401051012;Pauh Angit;14.09.09.2011
13;Rawang Binjai;1401051013;Rawang Binjai;14.09.09.2014
14;Pasar Baru Pangean;1401051014;Pasar Baru Pangean;14.09.09.2001
15;Pauh Angit Hulu;1401051015;Pauh Angit Hulu;14.09.09.2017
16;Sako;1401051016;Sako;14.09.09.2015
17;Sungai Langsat;1401051017;Sungailangsat;14.09.09.2016
