No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Serapung;1404040012;Serapung;14.05.10.2006
2;Teluk;1404040013;Teluk;14.05.10.2005
3;Teluk Dalam;1404040014;Teluk Dalam;14.05.10.1001
4;Sokoi;1404040015;Sokoi;14.05.10.2008
5;Tanjung Sum;1404040016;Tanjung Sum;14.05.10.2002
6;Sungai Solok;1404040017;Sungai Solok;14.05.10.2003
7;Sungai Upih;1404040018;Sungai Upih;14.05.10.2004
8;Teluk Beringin;1404040019;Teluk Beringin;14.05.10.2007
9;Sungai Emas;1404040020;Sungai Mas;14.05.10.2009
10;Teluk Bakau;1404040021;Teluk Bakau;14.05.10.2010
