No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Rokan Baru;1409043001;Rokan Baru;14.07.14.2002
2;Teluk Bano Ii;1409043002;Teluk Bano Ii;14.07.14.2005
3;Suak Temenggung;1409043003;Suak Temenggung;14.07.14.2004
4;Pedamaran;1409043006;Pedamaran;14.07.14.2001
5;Suak Air Hitam;1409043007;Suak Air Hitam;14.07.14.2007
6;Sungai Besar;1409043011;Sei Besar;14.07.14.2003
7;Pekaitan;1409043012;Pekaitan;14.07.14.2006
8;Kubu I;1409043025;Kubu I;14.07.14.2008
9;Karya Mulyo Sari;1409043026;Karyo Mulyo Sari;14.07.14.2009
10;Rokan Baru Pesisir;1409043027;Rokan Baru Pesisir;14.07.14.2010
