No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kota Intan;1407070002;Kota Intan;14.06.06.2003
2;Kota Lama;1407070003;Kota Lama;14.06.06.1001
3;Bukit Intan Makmur;1407070006;Bukit Intan Makmur;14.06.06.2017
4;Bagan Tujuh;1407070008;Bagan Tujuh;14.06.06.2018
5;Kota Raya;1407070011;Kota Raya;14.06.06.2008
6;Kota Baru;1407070012;Kota Baru;14.06.06.2009
7;Sungai Kuti;1407070013;Sungai Kuti;14.06.06.2010
8;Pasir Indah;1407070014;Pasir Indah;14.06.06.2011
9;Muara Dilam;1407070015;Muara Dilam;14.06.06.2004
10;Pasir Luhur;1407070016;Pasir Luhur;14.06.06.2012
