No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Suka Mulia;1405023001;Suka Mulya;14.08.06.2009
2;Buana Makmur;1405023002;Buana Makmur;14.08.06.2008
3;Pangkalan Makmur;1405023003;Pangkalan Makmur;14.08.06.2007
4;Banjar Seminai;1405023004;Banjar Seminai;14.08.06.2002
5;Teluk Merbau;1405023005;Teluk Merbau;14.08.06.2003
6;Sawit Permai;1405023006;Sawit Permai;14.08.06.2010
7;Sialang Sakti;1405023007;Sialang Sakti;14.08.06.2011
8;Merangkai;1405023008;Merangkai;14.08.06.2004
9;Berumbung Baru;1405023009;Berumbung Baru;14.08.06.2006
10;Lubuk Tilan;1405023010;Lubuk Tilam;14.08.06.2005
11;Dayun;1405023011;Dayun;14.08.06.2001
