No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Mosso Dua;7601030001;Mosso Dhua;76.05.03.1002
2;Mosso;7601030002;Mosso;76.05.03.1001
3;Puttada;7601030003;Puttada;76.05.03.2017
4;Sendana;7601030004;Sendana;76.05.03.2021
5;Tallum Banua;7601030005;Tallubanua;76.05.03.2007
6;Pundau;7601030011;Pundau;76.05.03.2020
7;Bukit Samang;7601030012;Bukit Samang;76.05.03.2026
8;Limbua;7601030013;Limbua;76.05.03.2025
9;Lalatedong;7601030014;Lalatedzong;76.05.03.2015
10;Paminggalan;7601030015;Paminggalan;76.05.03.2018
11;Totolisi Sendana;7601030016;Totolisi Sendana;76.05.03.2004
12;Banua Sendana;7601030017;Banua Sendana;76.05.03.2022
13;Tallu Banua Utara;7601030018;Tallubanua Utara;76.05.03.2023
14;Limboro Rambu-rambu;7601030019;Limboro Rambu-rambu;76.05.03.2024
15;Leppangan;7601030020;Leppangang;76.05.03.2019
16;Binanga;7601030021;Binanga;76.05.03.2016
