No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bonto Jai;7303010001;Bonto Jai;73.03.01.2008
2;Bonto Manai;7303010002;Bonto Manai;73.03.01.1001
3;Bonto Lebang;7303010003;Bonto Lebang;73.03.01.1002
4;Bonto Sunggu;7303010004;Bonto Sunggu;73.03.01.1003
5;Bonto Rita;7303010005;Bonto Rita;73.03.01.1005
6;Bonto Atu;7303010007;Bonto Atu;73.03.01.1004
7;Bonto Salluang;7303010008;Bonto Salluang;73.03.01.2012
8;Bonto Langkasa;7303010010;Bonto Langkasa;73.03.01.1006
9;Bonto Cinde;7303010011;Bonto Cinde;73.03.01.2009
10;Bonto Loe;7303010012;Bonto Loe;73.03.01.2010
11;Bonto Jaya;7303010013;Bonto Jaya;73.03.01.1007
