No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Baringeng;7311070001;Baringeng;73.08.06.2011
2;Tompobulu;7311070002;Tompo Bulu;73.08.06.2002
3;Ponre-ponre;7311070003;Ponre Ponre;73.08.06.2020
4;Laburasseng;7311070004;Laburasseng;73.08.06.2019
5;Tappale;7311070005;Tappale;73.08.06.2003
6;Polewali;7311070006;Polewali;73.08.06.2004
7;Suwa;7311070007;Suwa;73.08.06.2018
8;Pitumpidange;7311070008;Pitumpidange;73.08.06.2005
9;Wanuawaru;7311070009;Wanuawaru;73.08.06.2013
10;Ceppaga;7311070010;Ceppaga;73.08.06.1010
11;Mattiro Walie;7311070011;Mattirowalie;73.08.06.2014
12;Mario;7311070012;Mario;73.08.06.2012
13;Poleonro;7311070013;Poleonro;73.08.06.2015
14;Tanabatue;7311070014;Tanah Batue;73.08.06.1001
15;Swadaya;7311070015;Swadaya;73.08.06.2007
16;Binuang;7311070016;Binuang;73.08.06.2008
17;Mattiro Deceng;7311070017;Matirrodeceng;73.08.06.2017
18;Bune;7311070018;Bune;73.08.06.2006
19;Mallinrung;7311070019;Mallinrung;73.08.06.2009
20;Mattiro Bulu;7311070020;Matirro Bulu;73.08.06.2016
