No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Balieng Toa;7311090001;Balieng Toa;73.08.08.2020
2;Pasaka;7311090002;Pasaka;73.08.08.2014
3;Bulie;7311090003;Bulie;73.08.08.2019
4;Tunreng Tellue;7311090004;Tunreng Tellue;73.08.08.2004
5;Massenrengpulu;7311090005;Massenreng Pulu;73.08.08.2003
6;Mabbiring;7311090006;Mabbiring;73.08.08.2013
7;Mallusetasi;7311090007;Mallusetasi;73.08.08.2008
8;Pattiro Sompe;7311090008;Pattiro Sompe;73.08.08.2010
9;Pakkasalo;7311090009;Pakkasalo;73.08.08.2009
10;Pattiro Bajo;7311090010;Pattiro Bajo;73.08.08.2002
11;Maroanging;7311090011;Maroanging;73.08.08.1001
12;Cinnong;7311090012;Cinnong;73.08.08.2007
13;Polewali;7311090013;Polewali;73.08.08.2005
14;Kalibong;7311090014;Kalibong;73.08.08.2015
15;Tadang Palie;7311090015;Tadang Palie;73.08.08.2006
16;Ajang Pulu;7311090016;Ajangpulu;73.08.08.2011
17;Lette Tanah;7311090017;Letta Tanah;73.08.08.2017
18;Pattiro Riolo;7311090018;Pattiro Riolo;73.08.08.2016
19;Sumpang Minangae;7311090019;Sumpang Minangae;73.08.08.2012
20;Manajeng;7311090020;Manajeng;73.08.08.2018
