No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Leoran;7316020008;Leoran;73.16.02.1010
2;Galonta;7316020009;Galonta;73.16.02.1001
3;Juppandang;7316020010;Juppandang;73.16.02.1002
4;Lewaja;7316020011;Lewaja;73.16.02.1004
5;Ranga;7316020012;Ranga;73.16.02.2005
6;Kaluppini;7316020013;Kaluppini;73.16.02.2013
7;Tobalu;7316020014;Tobalu;73.16.02.2014
8;Tokkonan;7316020015;Tokkonan;73.16.02.2007
9;Puserren;7316020016;Puserren;73.16.02.1003
10;Karueng;7316020017;Karueng;73.16.02.2008
11;Cemba;7316020018;Cemba;73.16.02.2015
12;Tungka;7316020019;Tungka;73.16.02.2012
13;Temban;7316020020;Temban;73.16.02.2017
14;Buttu Batu;7316020021;Buttu Batu;73.16.02.2006
15;Tallu Bamba;7316020022;Tallu Bamba;73.16.02.2011
16;Tuara;7316020023;Tuara;73.16.02.1016
17;Lembang;7316020024;Lembang;73.16.02.2019
18;Rosoan;7316020025;Rosoan;73.16.02.2018
