No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Padang Kalua;7317090006;Padang Kalua;73.17.09.2014
2;Wiwitan;7317090007;Wiwitan;73.17.09.2008
3;Lamasi;7317090008;Lamasi;73.17.09.1001
4;Salu Jambu;7317090013;Salujambu;73.17.09.2007
5;Awo Gading;7317090014;Awo Gading;73.17.09.2024
6;Setiarejo;7317090015;Setiarejo;73.17.09.2010
7;'Se''pon';7317090016;Se'pon;73.17.09.2022
8;Pongsamelung;7317090017;Pongsamelung;73.17.09.2011
9;'To''pongo';7317090018;To'pongo;73.17.09.2020
10;Wiwitan Timur;7317090019;Wiwitan Timur;73.17.09.2026
