No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Kepulauan Selayar;7301;Kab. Kepulauan Selayar;73.01
2;Bulukumba;7302;Kab. Bulukumba;73.02
3;Bantaeng;7303;Kab. Bantaeng;73.03
4;Jeneponto;7304;Kab. Jeneponto;73.04
5;Takalar;7305;Kab. Takalar;73.05
6;Gowa;7306;Kab. Gowa;73.06
7;Sinjai;7307;Kab. Sinjai;73.07
8;Maros;7308;Kab. Maros;73.09
9;Pangkajene Dan Kepulauan;7309;Kab. Pangkajene Kepulauan;73.10
10;Barru;7310;Kab. Barru;73.11
11;Bone;7311;Kab. Bone;73.08
12;Soppeng;7312;Kab. Soppeng;73.12
13;Wajo;7313;Kab. Wajo;73.13
14;Sidenreng Rappang;7314;Kab. Sidenreng Rappang;73.14
15;Pinrang;7315;Kab. Pinrang;73.15
16;Enrekang;7316;Kab. Enrekang;73.16
17;Luwu;7317;Kab. Luwu;73.17
18;Tana Toraja;7318;Kab. Tana Toraja;73.18
19;Luwu Utara;7322;Kab. Luwu Utara;73.22
20;Luwu Timur;7325;Kab. Luwu Timur;73.24
21;Toraja Utara;7326;Kab. Toraja Utara;73.26
22;Makassar;7371;Kota Makassar;73.71
23;Parepare;7372;Kota Pare Pare;73.72
24;Palopo;7373;Kota Palopo;73.73
