No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Mangindara;7305050001;Mangindara;73.05.05.2008
2;Bonto Marannu;7305050002;Bontomarannu;73.05.05.2007
3;Baramamase;7305050003;Barangmamase;73.05.05.2012
4;Bonto Kassi;7305050004;Bontokassi;73.05.05.2009
5;Sawakong;7305050005;Sawakong;73.05.05.2013
6;Bentang;7305050006;Bentang;73.05.05.2011
7;Bontokanang;7305050007;Bonto Kanang;73.05.05.2006
8;Popo;7305050015;Popo;73.05.05.2015
9;Tarowang;7305050016;Tarowang;73.05.05.2016
10;Kadatong;7305050017;Kadatong;73.05.05.2018
11;Kalebentang;7305050018;Kale Bentang;73.05.05.2019
12;Kaluku Bodo;7305050019;Kalukubodo;73.05.05.2017
