No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;'Pa''bundukang';7305030003;Pa'bundukang;73.05.03.1001
2;Canrego;7305030005;Canrego;73.05.03.1004
3;Bontokadatto;7305030006;Bontokadatto;73.05.03.1003
4;Bulukunyi;7305030007;Bulukunyi;73.05.03.1005
5;Cakura;7305030008;Cakura;73.05.03.2007
6;Lantang;7305030009;Lantang;73.05.03.2008
7;Moncongkomba;7305030010;Moncongkomba;73.05.03.2006
8;'Patte''ne';7305030011;Pattene;73.05.03.1002
9;Rajaya;7305030012;Rajaya;73.05.03.1010
10;Su Rulangi;7305030013;Su'rulangi;73.05.03.2009
