No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;'Lembang Sa''dan Andulan';7326130001;Sa'dan Andulan;73.26.06.2008
2;'Lembang Sa''dan Tiro Allo';7326130002;Sa'dan Tiro Alo;73.26.06.2007
3;'Kelurahan Sa''dan Matalo';7326130003;Sa'dan Matalo;73.26.06.1004
4;Lembang Sangkaropi;7326130004;Tombang Langda;73.26.08.2004
5;Kelurahan Sa Dan Malimbong;7326130005;Sa'dan Malimbong;73.26.06.1002
6;Lembang Sadan Pabulian;7326130006;Sa'dan Pebulian;73.26.06.2005
7;Lembang Sadan Ballo Pasange;7326130007;Sa'dan Balongpasange;73.26.06.2003
8;'Lembang Sa''dan Liku Lambe';7326130008;Sa'dan Luku Lambe'na;73.26.06.2010
9;Lembang Sadan Pesondongan;7326130009;Sa'dan Pesondongan;73.26.06.2009
10;Lembang Sadan Ulusalu;7326130010;Sa'dan Ulusalu;73.26.06.2001
