No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Liu;7313010001;Liu;73.13.01.2004
2;Tadangpalie;7313010002;Tadangpalie;73.13.01.2013
3;Talotenreng;7313010003;Tolotenreng;73.13.01.1002
4;Walenae;7313010004;Walennae;73.13.01.1001
5;Salotengnga;7313010005;Salotengnga;73.13.01.2009
6;B I L A;7313010006;Bila;73.13.01.2015
7;Worongnge;7313010007;Worongnge;73.13.01.2008
8;Pallimae;7313010008;Pallimae;73.13.01.2010
9;Ugi;7313010009;Ugi;73.13.01.2005
10;Mallusesalo;7313010010;Mallusesalo;73.13.01.2011
11;Sompe;7313010011;Sompe;73.13.01.1003
12;Wage;7313010012;Wage;73.13.01.2007
13;Pasaka;7313010013;Pasaka;73.13.01.2012
14;Ujungpero;7313010014;Ujungpero;73.13.01.2006
15;Benteng Lompoe;7313010015;Batanglompoe;73.13.01.2014
