No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Assorajang;7313080001;Assorajang;73.13.08.2012
2;Pakkanna;7313080002;Pakkana;73.13.08.2008
3;Wajoriaja;7313080003;Wajoriaja;73.13.08.2009
4;Ujung Baru;7313080004;Ujungbaru;73.13.08.2018
5;Nepo;7313080005;Nepo;73.13.08.2005
6;Pajalele;7313080006;Pajalele;73.13.08.2014
7;Ujunge;7313080007;Ujungnge;73.13.08.2013
8;Mario;7313080008;Mario;73.13.08.2015
9;Waetuwo;7313080009;Wae Tuwo;73.13.08.2011
10;Wewangrewu;7313080010;Wawangrewu;73.13.08.2010
11;Palippu;7313080011;Palipu;73.13.08.2016
12;Tancung;7313080012;Tancung;73.13.08.1001
13;Baru Tancung;7313080013;Barutancung;73.13.08.1004
14;Pincengpute;7313080014;Pincengpute;73.13.08.1003
15;Mappadaelo;7313080015;Mappadaelo;73.13.08.1002
16;Lowa;7313080016;Lowa;73.13.08.2006
17;Mannagae;7313080017;Mannagae;73.13.08.2019
18;Inalipue;7313080018;Inalipue;73.13.08.2007
19;Tonralipue;7313080019;Tonralipue;73.13.08.2017
