No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Wanagading;7208061001;Wanagading;72.08.07.2004
2;Lambunu;7208061002;Lambunu;72.08.07.2001
3;Kotanagaya;7208061003;Kotanagaya;72.08.07.2005
4;Margapura;7208061004;Margapura;72.08.07.2006
5;Petunasugi;7208061005;Petunasugi;72.08.07.2007
6;Gunungsari;7208061016;Gunungsari;72.08.07.2021
7;Siendeng;7208061017;Siendeng;72.08.07.2016
8;Lambunu Utara;7208061018;Lambunu Utara;72.08.07.2017
9;Tirtanagaya;7208061031;Tirtanagaya;72.08.07.2031
10;Anutapura;7208061033;Anutapura;72.08.07.2033
11;Lambunu Timur;7208061035;Lambunu Timur;72.08.07.2035
12;Bukit Makmur;7208061036;Bukit Makmur;72.08.07.2036
13;Ganongol Sari;7208061037;Ganongol Sari;72.08.07.2038
14;Ogorandu;7208061038;Ogorandu;72.08.07.2037
