No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Moutong Timur;7208060001;Moutong Timur;72.08.04.2001
2;Moutong Tengah;7208060002;Moutong Tengah;72.08.04.2003
3;Moutong Barat;7208060003;Moutong Barat;72.08.04.2002
4;Tuladenggi Pantai;7208060004;Tuladenggi Pantai;72.08.04.2004
5;Gio;7208060006;Gio;72.08.04.2006
6;Lobu;7208060023;Lobu;72.08.04.2024
7;Pandelalap;7208060024;Pendelalap;72.08.04.2025
8;Sejoli;7208060025;Sejoli;72.08.04.2026
9;Boloung Olonggata;7208060026;Boloung Olonggata;72.08.04.2030
10;Salumpengut;7208060027;Salumpengut;72.08.04.2029
11;Aedan Raya;7208060028;Aedan Raya;72.08.04.2028
12;Labuan;7208060029;Labuan;72.08.04.2031
13;Salepae;7208060030;Salepae;72.08.04.2035
14;Moutong Utara;7208060031;Moutong Utara;72.08.04.2034
15;Pande;7208060032;Pande;72.08.04.2033
16;Olonggata;7208060033;Olonggata;72.08.04.2036
17;Mbelang Mbelang;7208060034;Mbelang Mbelang;72.08.04.2032
18;Gio Timur;7208060035;Gio Timur;72.08.04.2037
19;Gio Barat;7208060036;Gio Barat;72.08.04.2038
20;Sialopa;7208060037;Sialopa;72.08.04.2039
