No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bainaa;7208040008;Bainaa;72.08.03.2008
2;Dongkas;7208040009;Dongkas;72.08.03.2009
3;Tinombo;7208040010;Tinombo;72.08.03.2010
4;Lombok;7208040011;Lombok;72.08.03.2011
5;Dusunan;7208040012;Dusunan;72.08.03.2012
6;Tibu;7208040013;Tibu;72.08.03.2013
7;Bainaa Barat;7208040017;Bainaa Barat;72.08.03.2019
8;Ogoalas;7208040019;Ogoalas;72.08.03.2021
9;Lombok Barat;7208040020;Lombok Barat;72.08.03.2022
10;Silabia;7208040025;Silabia;72.08.03.2027
11;Siavu;7208040026;Siavu;72.08.03.2028
12;Ambason Mekar;7208040027;Ambason Mekar;72.08.03.2029
13;Patingke;7208040028;Patingke;72.08.03.2031
14;Dusunan Barat;7208040029;Dusunan Barat;72.08.03.2030
15;Taipaobal;7208040030;Taipaobal;72.08.03.2033
