No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Pamona Selatan;7204010;Pamona Selatan;72.02.06
2;Pamona Barat;7204011;Pamona Barat;72.02.20
3;Pamona Tenggara;7204012;Pamona Tenggara;72.02.26
4;Lore Selatan;7204020;Lore Selatan;72.02.09
5;Lore Barat;7204021;Lore Barat;72.02.23
6;Pamona Pusalemba;7204030;Pamona Puselemba;72.02.04
7;Pamona Timur;7204031;Pamona Timur;72.02.05
8;Pamona Utara;7204032;Pamona Utara;72.02.27
9;Lore Utara;7204040;Lore Utara;72.02.07
10;Lore Tengah;7204041;Lore Tengah;72.02.08
11;Lore Timur;7204042;Lore Timur;72.02.24
12;Lore Peore;7204043;Lore Piore;72.02.25
13;Poso Pesisir;7204050;Poso Pesisir;72.02.02
14;Poso Pesisir Selatan;7204051;Poso Pesisir Selatan;72.02.19
15;Poso Pesisir Utara;7204052;Poso Pesisir Utara;72.02.18
16;Lage;7204060;Lage;72.02.03
17;Poso Kota;7204070;Poso Kota;72.02.01
18;Poso Kota Utara;7204071;Poso Kota Utara;72.02.22
19;Poso Kota Selatan;7204072;Poso Kota Selatan;72.02.21
