No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Malei Tojo;7209010001;Malei Tojo;72.09.07.2001
2;Matako;7209010002;Matako;72.09.07.2002
3;Bambalo;7209010003;Bambalo;72.09.07.2003
4;Galuga;7209010004;Galuga;72.09.07.2004
5;Toliba;7209010005;Toliba;72.09.07.2005
6;Ujung Tibu;7209010006;Ujung Tibu;72.09.07.2006
7;Nggawia;7209010007;Nggawia;72.09.07.2007
8;Tombiano;7209010008;Tombiano;72.09.07.2008
9;Tatari;7209010009;Tatari;72.09.07.2009
10;Kabalo;7209010010;Kabalo;72.09.07.2010
11;Tanamawau;7209010011;Tanamawau;72.09.07.2011
12;Malewa;7209010012;Malewa;72.09.07.2012
13;Mawomba;7209010013;Mawomba;72.09.07.2013
