No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Dadakitan;7206040012;Dadakitan;72.04.07.2002
2;Tuweley;7206040013;Tuweley;72.04.07.1003
3;Panasakan;7206040014;Panasakan;72.04.07.1006
4;Sidoarjo;7206040015;Sidoarjo;72.04.07.1007
5;Baru;7206040016;Baru;72.04.07.1005
6;Nalu;7206040017;Nalu;72.04.07.1004
7;Tambun;7206040018;Tambun;72.04.07.1001
8;Buntuna;7206040019;Buntuna;72.04.07.2008
9;Lelean Nono;7206040020;Lelean Nono;72.04.07.2009
10;Pangi;7206040021;Pangi;72.04.07.2010
