No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Biwinapada;7415060005;Biwinapada;74.15.06.2001
2;Kaimbulawa;7415060006;Kaimbulawa;74.15.06.2002
3;Wakinamboro;7415060007;Wakinamboro;74.15.06.2003
4;Tongali;7415060008;Tongali;74.15.06.2004
5;Lontoi;7415060009;Lontoi;74.15.06.2005
6;Karae;7415060010;Karae;74.15.06.2006
7;Batuawu;7415060011;Batuawu;74.15.06.2007
8;Nggulanggula;7415060012;Nggulanggula;74.15.06.2008
9;Waindawula;7415060013;Waindawula;74.15.06.2009
10;Lapara;7415060014;Lapara;74.15.06.2010
