No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Wakambangura;7414020001;Wakambangura;74.14.04.2014
2;Kancebungi;7414020002;Kancebungi;74.14.04.2015
3;Gumanano;7414020003;Gumanano;74.14.04.2016
4;Matara;7414020006;Matara;74.14.04.2011
5;Wasilomata I;7414020007;Wasilotama I;74.14.04.2010
6;Wasilomata Ii;7414020008;Wasilomata Ii;74.14.04.2009
7;Napa;7414020009;Napa;74.14.04.2013
8;Balobone;7414020010;Balobone;74.14.04.2012
9;Watolo;7414020011;Watolo;74.14.04.1001
10;Mawasangka;7414020012;Mawasangka;74.14.04.1002
11;Oengkolaki;7414020013;Oengkolaki;74.14.04.2003
12;Banga;7414020014;Banga;74.14.04.2004
13;Polindu;7414020027;Polindu;74.14.04.2006
14;Tanailandu;7414020028;Tanailandu;74.14.04.2005
15;Kanapa Napa;7414020029;Kanapa Napa;74.14.04.2007
16;Terapung;7414020030;Terapung;74.14.04.2008
17;Dahiango;7414020031;Dahiango;74.14.04.2017
18;Wakambangura Ii;7414020032;Wakambangura Ii;74.14.04.2019
19;Air Bajo;7414020033;Air Bajo;74.14.04.2018
