No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Rahmat Baru;7409121001;Rahmat Baru;74.10.04.2006
2;Soloy Agung;7409121002;Soloy Agung;74.10.04.2007
3;Kotawo;7409121003;Kotawo;74.10.04.2001
4;Bumi Lapero;7409121004;Bumi Lapero;74.10.04.2008
5;Dampala Jaya;7409121005;Dampala Jaya;74.10.04.2005
6;Kasulatombi;7409121006;Kasulatombi;74.10.04.2004
7;Karya Bakti;7409121007;Karya Bhakti;74.10.04.2002
8;Marga Karya;7409121008;Margakarya;74.10.04.2003
9;Lauki;7409121009;Lauki;74.10.04.2012
10;Lambale;7409121010;Lambale;74.10.04.2010
11;Mekar Jaya;7409121011;Mekar Jaya;74.10.04.2013
12;Labulanda;7409121012;Labulanda;74.10.04.2014
13;Lapandewa;7409121013;Lapandewa;74.10.04.2011
14;Karya Mulia;7409121015;Karya Mulya;74.10.04.2009
