No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Barangka;7401110001;Barangka;74.04.22.2001
2;Wakalambe;7401110002;Wakalambe;74.04.22.2002
3;Boneatiro;7401110003;Boneatiro;74.04.22.2003
4;Lambusango;7401110004;Lambusango;74.04.22.2004
5;Watumotobe;7401110005;Watumotobe;74.04.22.1005
6;Waondo Wolio;7401110006;Waondo Wolio;74.04.22.2009
7;Wakangka;7401110007;Wakangka;74.04.22.1006
8;Tuangila;7401110008;Tuangila;74.04.22.2008
9;Bukit Asri;7401110009;Bukit Asri;74.04.22.2010
10;Todanga;7401110010;Todanga;74.04.22.2007
11;Lambusango Timur;7401110011;Lambusango Timur;74.04.22.2012
12;Kamelanta;7401110012;Kamelanta;74.04.22.2011
13;Mabulugo;7401110013;Mabulugo;74.04.22.2014
14;Wambulu;7401110014;Wambulu;74.04.22.2015
15;Wakuli;7401110015;Wakuli;74.04.22.2013
16;Tumada;7401110016;Tumada;74.04.22.2016
17;Boneatiro Barat;7401110017;Boneatiro Barat;74.04.22.2017
