No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Ranteangin;7408010;Rante Angin;74.08.04
2;Lambai;7408011;Lambai;74.08.08
3;Wawo;7408012;Wawo;74.08.07
4;Lasusua;7408020;Lasusua;74.08.01
5;Katoi;7408021;Katoi;74.08.13
6;Kodeoha;7408030;Kodeoha;74.08.05
7;Tiwu;7408031;Tiwu;74.08.14
8;Ngapa;7408040;Ngapa;74.08.06
9;Watunohu;7408041;Watunohu;74.08.09
10;Pakue;7408050;Pakue;74.08.02
11;Pakue Utara;7408051;Pakue Utara;74.08.11
12;Pakue Tengah;7408052;Pakue Tengah;74.08.10
13;Batu Putih;7408060;Batu Putih;74.08.03
14;Porehu;7408061;Porehu;74.08.12
15;Tolala;7408062;Tolala;74.08.15
