No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ulu Kalo;7404072001;Ulu Kalo;74.01.27.2006
2;Iwoimendaa;7404072002;Iwoimendaa;74.01.27.2004
3;Lasiroku;7404072003;Lasiroku;74.01.27.2003
4;Ladahai;7404072004;Ladahai;74.01.27.2002
5;Tamborasi;7404072005;Tamborasi;74.01.27.2001
6;Lambopini;7404072006;Lambopini;74.01.27.2005
7;Wonua Laku;7404072007;Wonualaku;74.01.27.2007
8;Landoula;7404072008;Landoula;74.01.27.2010
9;Watumelewe;7404072009;Watumelewe;74.01.27.2009
10;Lawolia;7404072010;Lawolia;74.01.27.2008
