No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Watubangga;7404010;Watubangga;74.01.08
2;Tanggetada;7404011;Tanggetada;74.01.18
3;Toari;7404012;Toari;74.01.24
4;Polinggona;7404013;Polinggona;74.01.25
5;Pomalaa;7404020;Pomalaa;74.01.07
6;Wundulako;7404030;Wundulako;74.01.01
7;Baula;7404031;Baula;74.01.12
8;Kolaka;7404060;Kolaka;74.01.04
9;Latambaga;7404061;Latambaga;74.01.14
10;Wolo;7404070;Wolo;74.01.10
11;Samaturu;7404071;Samaturu;74.01.20
12;Iwoimendaa;7404072;Iwoimendaa;74.01.27
