No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Lawulo;7404071001;Lawulo;74.01.20.2007
2;Sani Sani;7404071002;Sani-sani;74.01.20.2012
3;Kaloloa;7404071003;Kaloloa;74.01.20.2003
4;Konaweha;7404071004;Konaweha;74.01.20.2002
5;A W A;7404071005;Awa;74.01.20.2008
6;Lambolemo;7404071006;Lambolemo;74.01.20.2005
7;Tamboli;7404071007;Tamboli;74.01.20.2004
8;Tosiba;7404071008;Tosiba;74.01.20.1001
9;Amomutu;7404071009;Amamutu;74.01.20.2006
10;Malaha;7404071010;Malaha;74.01.20.2011
11;Latuo;7404071011;Latuo;74.01.20.2009
12;Wowa Tamboli;7404071012;Wawo Tambali;74.01.20.2010
13;Tonganapo;7404071013;Tonganapo;74.01.20.1013
14;Ulu Konaweha;7404071014;Ulu Konaweha;74.01.20.2014
15;Puutamboli;7404071015;Puu Tamboli;74.01.20.2015
16;Puu Lawulo;7404071016;Puu Lawulo;74.01.20.2017
17;Liku;7404071017;Liku;74.01.20.2018
18;Meura;7404071018;Meura;74.01.20.2019
19;Ulaweng;7404071019;Ulaweng;74.01.20.2016
