No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Puurau;7412030001;Puurau;74.12.03.2007
2;Mata Dimba;7412030002;Mata Dimba;74.12.03.2006
3;Dimba;7412030003;Dimba;74.12.03.2005
4;Patande;7412030004;Patande;74.12.03.2009
5;Ladianta;7412030005;Ladianta;74.12.03.1004
6;Tangkombuno;7412030006;Tangkombuno;74.12.03.2003
7;Baho Bubu;7412030007;Baho Bubu;74.12.03.2010
8;Noko;7412030008;Noko;74.12.03.2002
9;Bangun Mekar;7412030009;Bangun Mekar;74.12.03.2001
10;Watuondo;7412030010;Watuondo;74.12.03.2008
