No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;T A N E A;7405080005;Tanea;74.05.07.2010
2;Amohalo;7405080006;Amohalo;74.05.07.2020
3;Masagena;7405080007;Masagena;74.05.07.2011
4;Cialam Jaya;7405080008;Cialam Jaya;74.05.07.2012
5;Lawoila;7405080009;Lawoila;74.05.07.2014
6;Wonua;7405080010;Wonua;74.05.07.2013
7;Pambulaa Jaya;7405080011;Pambulsa Jaya;74.05.07.2008
8;Ambololi;7405080012;Ambololi;74.05.07.2009
9;Lambusa;7405080013;Lambusa;74.05.07.2007
10;Lebo Jaya;7405080014;Lebo Jaya;74.05.07.2006
11;Konda;7405080015;Konda;74.05.07.1001
12;Alebo;7405080016;Alebo;74.05.07.2004
13;Morome;7405080017;Morome;74.05.07.2005
14;Lamomea;7405080018;Lamomea;74.05.07.2003
15;Puosu Jaya;7405080019;Puosu Jaya;74.05.07.2002
16;Lalowiu;7405080020;Lalowiu;74.05.07.2019
17;Konda Satu;7405080021;Konda Satu;74.05.07.2024
