No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Waworaha;7403090010;Waworaha;74.02.11.2004
2;Soropia;7403090011;Soropia;74.02.11.2010
3;Sawapudo;7403090012;Sawapudo;74.02.11.2012
4;Atowatu;7403090013;Atowatu;74.02.11.2002
5;Toronipa;7403090014;Toronipa;74.02.11.1001
6;Bokori;7403090015;Bokori;74.02.11.2014
7;Mekar;7403090016;Mekar;74.02.11.2016
8;Bajo Indah;7403090017;Bajo Indah;74.02.11.2017
9;Tapulaga;7403090018;Tapulaga;74.02.11.2011
10;Sorue Jaya;7403090019;Sorue Jaya;74.02.11.2006
11;Saponda;7403090020;Saponda;74.02.11.2015
12;Telaga Biru;7403090023;Telaga Biru;74.02.11.2022
13;Bajoe;7403090024;Bajoe;74.02.11.2024
14;Leppe;7403090025;Leppe;74.02.11.2023
15;Saponda Laut;7403090026;Saponda Laut;74.02.11.2025
