No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Moat;7111041001;Mooat;71.10.07.2001
2;Bongkudai Selatan;7111041002;Bongkudai Selatan;71.10.07.2002
3;Bongkudai Baru;7111041003;Bongkudai Baru;71.10.07.2003
4;Bongkudai Utara;7111041004;Bongkudai Utara;71.10.07.2004
5;Bongkudai Timur;7111041005;Bongkudai Timur;71.10.07.2005
6;Guaan;7111041006;Guaan;71.10.07.2006
7;Mototompiaan;7111041007;Mototompian;71.10.07.2007
8;Mokitompia;7111041008;Mokitompia;71.10.07.2008
9;Kokapoy;7111041009;Kokapoi;71.10.07.2009
10;Kokapoy Timur;7111041010;Kokapoi Timur;71.10.07.2010
