No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Dodap;7111020001;Dodap;71.10.01.2005
2;Dodap Pantai;7111020002;Dodap Pantai;71.10.01.2006
3;Togid;7111020003;Togid;71.10.01.2004
4;Tutuyan Ii;7111020004;Tutuyan Ii;71.10.01.2007
5;Tutuyan;7111020005;Tutuyan;71.10.01.2003
6;Tutuyan Iii;7111020006;Tutuyan Iii;71.10.01.2008
7;Tombolikat Selatan;7111020007;Tombolikat Selatan;71.10.01.2009
8;Tombolikat;7111020008;Tombolikat;71.10.01.2002
9;Kayumoyondi;7111020009;Kayumoyondi;71.10.01.2001
10;Dodap Mikasa;7111020010;Dodop Mikasa;71.10.01.2010
