No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Mopusi;7101060001;Mopusi;71.01.14.2004
2;Matali Baru;7101060002;Matali Baru;71.01.14.2005
3;Bakan;7101060003;Bakan;71.01.14.2006
4;Tanoyan Selatan;7101060004;Sanoyan Selatan;71.01.14.2007
5;Tanoyan Utara;7101060005;Tanoyan Utara;71.01.14.2019
6;Lolayan;7101060006;Lolayan;71.01.14.2009
7;Tungoi Ii;7101060007;Tungoi Ii;71.01.14.2020
8;Tungoi I;7101060008;Tungoi I;71.01.14.2008
9;Tapa Aog;7101060009;Tapa Aog;71.01.14.2003
10;Abak;7101060010;Abak;71.01.14.2002
11;Bombanon;7101060011;Bombanon;71.01.14.2001
12;Mopait;7101060012;Mopait;71.01.14.2010
13;Kopandakan Ii;7101060013;Kopandakan Ii;71.01.14.2017
14;Mengkang;7101060014;Mengkang;71.01.14.2021
