No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tuabatu;7104051001;Tuabatu;71.04.10.2001
2;Binalang;7104051002;Binalang;71.04.10.2005
3;Riung;7104051003;R I U N G;71.04.10.2003
4;Dapalan;7104051004;Dapalan;71.04.10.2002
5;Ammat;7104051005;---;---
6;Ganalo;7104051006;Ganalo;71.04.10.2006
7;Dapihe;7104051007;Dapihe;71.04.10.2007
8;Tuabatu Barat;7104051008;Tuabatu Barat;71.04.10.2008
9;Binalang Selatan;7104051009;Binalang Timur;71.04.10.2010
10;Riung Utara;7104051010;Riung Utara;71.04.10.2011
11;Ammat Selatan;7104051011;Ammat Selatan;71.04.10.2009
