No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Boyong Atas;7105100011;Boyong Atas;71.05.09.2001
2;Pakuure Iii;7105100012;Paku Ure Ii;71.05.09.2002
3;Pakuure Ii;7105100013;Paku Ure Ii;71.05.09.2002
4;Pakuure I;7105100014;Paku Ure Ii;71.05.09.2002
5;Sapa;7105100015;Sapa;71.05.09.2010
6;Pakuweru;7105100016;Pakuweru;71.05.09.2009
7;Tenga;7105100017;Tenga;71.05.09.2003
8;Radey;7105100018;Radey;71.05.09.2004
9;Tawaang;7105100019;Tawaang;71.05.09.2005
10;Molinow;7105100024;Molinow;71.05.09.2014
11;Pakuure Tinanian;7105100025;Paku Ure Tinanian;71.05.09.2016
12;Pakuure Kinamang;7105100026;Paku Ure Kinamang;71.05.09.2017
13;Pakuure;7105100027;Paku Ure;71.05.09.2015
14;Pakuweru Utara;7105100028;Pakuweru Utara;71.05.09.2018
15;Sapa Barat;7105100029;Sapa Barat;71.05.09.2019
16;Sapa Timur;7105100030;Sapa Timur;71.05.09.2020
17;Tawaang Timur;7105100031;Tawaang Timur;71.05.09.2021
18;Tawaang Barat;7105100032;Tawaang Barat;71.05.09.2022
