No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Ratatotok;7109010;Ratatotok;71.07.04
2;Pusomaen;7109020;Pusomaen;71.07.02
3;Belang;7109030;Belang;71.07.03
4;Ratahan;7109040;Ratahan;71.07.01
5;Pasan;7109041;Pasan;71.07.11
6;Ratahan Timur;7109042;Ratahan Timur;71.07.12
7;Tombatu;7109050;Tombatu;71.07.05
8;Tombatu Timur;7109051;Tombatu Timur;71.07.09
9;Tombatu Utara;7109052;Tombatu Utara;71.07.10
10;Touluaan;7109060;Touluaan;71.07.06
11;Touluaan Selatan;7109061;Touluaan Selatan;71.07.07
12;Silian Raya;7109062;Silian Raya;71.07.08
