No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Minanga;7109020001;Minanga;71.07.02.2006
2;Minanga Satu;7109020002;Minanga Satu;71.07.02.2007
3;Makalu;7109020003;Makalu;71.07.02.2005
4;Tumbak;7109020004;Tumbak;71.07.02.2004
5;Tatengesan;7109020005;Tatengesan;71.07.02.2001
6;Bentenan;7109020006;Bentenan;71.07.02.2003
7;Wiau;7109020007;Wiau;71.07.02.2002
8;Bentenan Indah;7109020008;Bentenan Indah;71.07.02.2008
9;Minanga Timur;7109020009;Minanga Timur;71.07.02.2009
10;Minanga Dua;7109020010;Minanga Dua;71.07.02.2010
11;Minanga Tiga;7109020011;Minanga Tiga;71.07.02.2011
12;Makalu Selatan;7109020012;Makalu Selatan;71.07.02.2012
13;Tumbak Madani;7109020013;Tumbak Madani;71.07.02.2015
14;Tatengesan Satu;7109020014;Tatengesan Satu;71.07.02.2013
15;Bentenan Satu;7109020015;Bentenan Satu;71.07.02.2014
