No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ratatotok Timur;7109010001;Ratatotok Timur;71.07.04.2004
2;Ratatotok Dua;7109010002;Ratatotok Dua;71.07.04.2002
3;Ratatotok Satu;7109010003;Ratatotok Satu;71.07.04.2001
4;Ratatotok Selatan;7109010004;Ratatotok Selatan;71.07.04.2003
5;Soyowan;7109010005;Soyoan;71.07.04.2009
6;Moreah;7109010006;Morea;71.07.04.2007
7;Moreah Satu;7109010007;Morea Satu;71.07.04.2008
8;Basaan;7109010008;Basaan;71.07.04.2005
9;Basaan Satu;7109010009;Basaan Satu;71.07.04.2006
10;Ratatotok Muara;7109010010;Ratatotok Muara;71.07.04.2015
11;Ratatotok Tengah;7109010011;Ratatotok Tengah;71.07.04.2013
12;Ratatotok;7109010012;Ratatotok;71.07.04.2014
13;Ratatotok Utara;7109010013;Ratatotok Utara;71.07.04.2011
14;Ratatotok Tenggara;7109010014;Ratatotok Tenggara;71.07.04.2012
15;Basaan Dua;7109010015;Basaan Dua;71.07.04.2010
