No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Talawaan;7106051001;Talawaan;71.06.09.2003
2;Tumbohon;7106051002;Tumbohon;71.06.09.2007
3;Kolongan;7106051003;Kolongan;71.06.09.2002
4;Mapanget;7106051004;Mapanget;71.06.09.2004
5;Winetin;7106051005;Winetin;71.06.09.2008
6;Patokaan;7106051006;Patokaan;71.06.09.2009
7;Wusa;7106051007;Wusa;71.06.09.2005
8;Warisa;7106051008;Warisa;71.06.09.2006
9;Teep Warisa;7106051009;Teepwarisa;71.06.09.2010
10;Paniki Atas;7106051010;Paniki Atas;71.06.09.2001
11;Warisa Kampung Baru;7106051011;Warisa Kampung Baru;71.06.09.2011
12;Paniki Baru;7106051012;Paniki Baru;71.06.09.2012
