No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kaleosan;7102220001;Kaleosan;71.02.05.2005
2;Karor;7102220002;Karor;71.02.05.2004
3;Watulaney;7102220003;Watulaney;71.02.05.2006
4;Kayuroya;7102220004;Kayuroya;71.02.05.2007
5;Atep Oki;7102220005;Atep Oki;71.02.05.2003
6;Kapataran;7102220006;Kapataran;71.02.05.2001
7;Seretan;7102220007;Seretan;71.02.05.2002
8;Parentek;7102220008;Parentek;71.02.05.2009
9;Kapataran Satu;7102220009;Kapataran Satu;71.02.05.2010
10;Seretan Timu;7102220010;Seretan Timur;71.02.05.2008
11;Watulaney Amian;7102220011;Watulaney Amian;71.02.05.2011
