No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Timbukar;7102130001;Timbukar;71.02.11.2010
2;Tincep;7102130002;Tincep;71.02.11.2009
3;Kauneran;7102130003;Kauneran;71.02.11.2005
4;Sendangan;7102130004;Sendangan;71.02.11.2006
5;Kolongan Atas;7102130005;Kolongan Atas;71.02.11.2002
6;Leilem;7102130006;Leilem;71.02.11.2001
7;Tounelet;7102130007;Tounelet;71.02.11.2018
8;Talikuran;7102130008;Talikuran;71.02.11.2004
9;Rambunan;7102130009;Rambunan;71.02.11.2007
10;Sawangan;7102130010;Sawangan;71.02.11.2008
11;Kolongan Atas Dua;7102130011;Kolongan Atas Dua;71.02.11.2013
12;Leilem Dua;7102130012;Leilem Dua;71.02.11.2011
13;Leilem Tiga;7102130013;Leilem Tiga;71.02.11.2012
14;Kauneran Satu;7102130014;Kauneran Satu;71.02.11.2014
15;Sendangan I;7102130015;Sendangan;71.02.11.2006
16;Kolongan Atas I;7102130016;Kolongan Atas;71.02.11.2002
17;Tounelet Satu;7102130017;Tounelet Satu;71.02.11.2003
18;Talikuran Satu;7102130018;Talikuran Satu;71.02.11.2017
19;Rambunan Amian;7102130019;Rambunan Amian;71.02.11.2015
