No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Biaro;7108010;Biaro;71.09.07
2;Tagulandang Selatan;7108020;Tagulandang Selatan;71.09.10
3;Tagulandang;7108030;Tagulandang;71.09.03
4;Tagulandang Utara;7108040;Tagulandang Utara;71.09.06
5;Siau Barat Selatan;7108050;Siau Barat Selatan;71.09.05
6;Siau Timur Selatan;7108060;Siau Timur Selatan;71.09.04
7;Siau Barat;7108070;Siau Barat;71.09.02
8;Siau Tengah;7108080;Siau Tengah;71.09.09
9;Siau Timur;7108090;Siau Timur;71.09.01
10;Siau Barat Utara;7108100;Siau Barat Utara;71.09.08
